Area_Locality,Society_Name,Numeric_Price,Title,BHK
Medavakkam,Velachery Apartment,12500000,3 BHK Apartment for Sale in Medavakkam Chennai,3
Thoraipakkam,Svastika Star Apartment,8800000,3 BHK Apartment for Sale in Thoraipakkam Chennai,3
Chromepet,Yuga Kalpataru,5000000,2 BHK Apartment for Sale in Chromepet Chennai,2
Perumbakkam,Muraliram Homes,7700000,3 BHK Apartment for Sale in Perumbakkam Chennai,3
Ambattur,Bscpl Bollineni Zion,6500000,2 BHK Apartment for Sale in Ambattur Chennai,2
Navalur,Pearl Castle,13000000,3 BHK Apartment for Sale in Navalur Chennai,3
Perungalathur,Kg Centre Point,4800000,2 BHK Apartment for Sale in Perungalathur Chennai,2
Kotturpuram,Godrej Azure,16500000,2 BHK Apartment for Sale in Kotturpuram Chennai,2
Urapakkam,Gnanasundaram Kokilam,5000000,2 BHK Apartment for Sale in Urapakkam Chennai,2
Thiruporur,Ceebros Boulevard,1800000,2 BHK Apartment for Sale in Thiruporur Chennai,2
Srinivasa Nagar Peerkankaranai,Baashyaam The Plutus Residence,5000000,2 BHK Apartment for Sale in Srinivasa Nagar Peerkankaranai Chennai,2
Ring Road Housing Sector,Chamundeeswary Chang Royale,8000000,2 BHK Apartment for Sale in Ring Road Housing Sector Chennai,2
Manapakkam,Pacifica Aurum,11500000,2 BHK Apartment for Sale in Manapakkam Chennai,2
Lic Colony Velachery,Nungambakkam,14000000,3 BHK Apartment for Sale in LIC Colony Velachery Chennai,3
Kelambakkam,Classic Retreat,6800000,2 BHK Apartment for Sale in Kelambakkam Chennai,2
Kallikuppam,Casagrand Tudor,11900000,3 BHK Apartment for Sale in Kallikuppam Chennai,3
Nungambakkam,Sbm Qia,45000000,3 BHK Apartment for Sale in Nungambakkam Chennai,3
Adyar,Lakshmi Steorra Apartments,15000000,2 BHK Apartment for Sale in Adyar Chennai,2
Jawahar Nagar Perambur,Lml League One,9500000,2 BHK Apartment for Sale in Jawahar Nagar Perambur Chennai,2
